"Youth","Bible studies designed for the youth audience.","",
"Lesson Name:","Honoring Your Parents; Part 1 – When Struggling To Honor You Parents","Author:","Pastor Terry Gurno","Email:","contact@biblestudyplanet.com","Date:","02/01/2012","Topics:","Family","Focus:","Old Testament","Book:","Exodus","Audience:","Youth","Length:","90","Lesson Text:",""Honor your father and your mother, so that you may live long in the land the Lord your God is giving you." (Exodus 20:12) I know that when I read this commandment there are some people, and I am one of them, who have struggled to work through this commandment in our life. Some of you right now didn’t even like the way that verse read or sounded because honestly you don’t know why or how or what would be the reason to literally honor your mother and father.","",
"Lesson Name:","Honoring Your Parents Part 2; Five Things Family Teaches Us","Author:","Pastor Terry Gurno","Email:","contact@biblestudyplanet.com","Date:","02/14/2012","Topics:","Family","Focus:","Old Testament","Book:","Exodus","Audience:","Youth","Length:","90","Lesson Text:","This commandment is so important because it lists the value of your family. The family is the birthplace of a lot of things, and we are going to talk about five of those things in this study. 1) FAMILY IS THE BIRTHPLACE OF YOUR VALUES 2) FAMILY IS A RELATIONSHIP TRAINING CENTER 3) FAMILY IS WHERE WE LEARN ABOUT AUTHORITY 4) FAMILY IS WHERE WE LEARN OUR VALUE AS A HUMAN 5) FAMILY IS WHERE WE LEARN ABOUT FAITH","",
"Lesson Name:","Honoring Our Parents Part 3; How We Honor Our Parents","Author:","Pastor Terry Gurno","Email:","contact@biblestudyplanet.com","Date:","02/13/2012","Topics:","Family","Focus:","Old Testament","Book:","Exodus","Audience:","Youth","Length:","90","Lesson Text:","Why Should We Obey Our Parents? Because God promises you a long life. Notice at the end of this Commandment it says, “Honor your father and mother so that you may live long in the land the Lord your God is giving you.” (Exodus 20:12). So not only live long, but notice it says, “In the land your God is giving you.” He is not talking about individuals, He is talking about society and when the family unit breaks down, the society breaks down. Nobody knows that better than the United States of America because it is the greatest battle, and it is the greatest challenge that we face. The preservation of the family unit is the preservation of generations to follow. The family is the backbone of society. “That you may live long in the land as a society, as a unit,” that’s what God is really talking about.","",
"Lesson Name:","Honoring Your Parents Part 4; Let The Healing Begin","Author:","Pastor Terry Gurno","Email:","contact@biblestudyplanet.com","Date:","02/19/2012","Topics:","Family","Focus:","Old Testament","Book:","Exodus","Audience:","Youth","Length:","90","Lesson Text:","Family is so precious. It's absolutely priceless. God knows that, and that's why he places such high value on the family. Relationship with God, then relationship with family. That's not by accident, that's by design. For those of you we prayed for (In the Introduction), I pray God has been able to speak to you. Really what I am praying for is this would be a freeing message. God is not asking you to live in denial. He is not asking you to deny your feelings. He is asking you to be honest with them, and face them, so that you are not holding on to bitterness or unforgiveness and just passing them on. Then you can be the training center within your homes that God intended you to be. I want to challenge you, if you struggle with this, find one thing to honor your parents for.","",
"Lesson Name:","By Grace, Through Faith","Author:","Bible Study Planet","Email:","contact@biblestudyplanet.com","Date:","02/29/2012","Topics:","Family","Focus:","Old Testament","Book:","Exodus","Audience:","Youth","Length:","90","Lesson Text:",""It is by grace you have been saved, through faith — and this not from yourselves, it is the gift of God — not by works, so that no one can boast." – Ephesians 2:8-9 God is gracious… Because God is gracious, sinful people are forgiven, converted, purified, and saved. It’s not because of anything in them, or anything that ever can be in them, that they are saved; it’s because of the boundless love, goodness, pity, compassion, mercy, and grace of God. It’s because “his love endures forever” (1 Chronicles 16:41) that we are not destroyed. It’s because “his compassions never fail” (Lamentations 3:22) that sinners are brought to Him and forgiven. Remember these things or you may fall into error by focusing so much on your faith that you forget that grace is the source of faith itself.","",
"Lesson Name:","7 Commands for Christian Living","Author:","Bible Study Planet","Email:","contact@biblestudyplanet.com","Date:","02/11/2012","Topics:","Christian Life","Focus:","New Testament","Book:","1 Thessalonians","Audience:","Youth","Length:","90","Lesson Text:",""Rejoice always, pray without ceasing, in everything give thanks; for this is the will of God in Christ Jesus for you. Do not quench the Spirit. Do not despise prophecies. Test all things; hold fast what is good. Abstain from every form of evil." – 1 Thessalonians 5:16-22 In this passage Paul is summing up how the Christian should live. In seven verses he gives us seven commands for Christian living. Let’s go through them one by one.","",
"Children","Bible studies designed for the children audience.","",
"Lesson Name:","7 Ways God Loves Us","Author:","Bible Study Planet","Email:","contact@biblestudyplanet.com","Date:","02/19/2012","Topics:","Family","Focus:","Old Testament","Book:","Exodus","Audience:","Children","Length:","90","Lesson Text:",""God so loved the world, that he gave his only Son, that whoever believes in him should not perish but have eternal life. For God did not send his Son into the world to condemn the world, but in order that the world might be saved through him." (Jhn 3:16-17)","",
"Lesson Name:","Who You Are In Christ","Author:","Bible Study Planet","Email:","contact@biblestudyplanet.com","Date:","02/18/2012","Topics:","Family","Focus:","Old Testament","Book:","Exodus","Audience:","Children","Length:","90","Lesson Text:",""Therefore, if anyone is in Christ, he is a new creation; old things have passed away; behold, all things have become new." – 2 Corinthians 5:17","",
"Lesson Name:","Honoring Your Parents; Part 1 – When Struggling To Honor You Parents","Author:","Pastor Terry Gurno","Email:","contact@biblestudyplanet.com","Date:","02/1/2012","Topics:","Family","Focus:","Old Testament","Book:","Exodus","Audience:","Children","Length:","90","Lesson Text:",""Honor your father and your mother, so that you may live long in the land the Lord your God is giving you." (Exodus 20:12) I know that when I read this commandment there are some people, and I am one of them, who have struggled to work through this commandment in our life. Some of you right now didn’t even like the way that verse read or sounded because honestly you don’t know why or how or what would be the reason to literally honor your mother and father.",
